epoch,train_loss,valid_macro_f1,valid_accuracy
1,0.8704163978461807,0.6756927809026804,0.7488494411571335
2,0.5747110559302717,0.6645832247779905,0.7355358316896778
3,0.4739554617367185,0.7447475007058473,0.8162393162393162
4,0.3870013898842616,0.7396823492837711,0.8351413543721236
5,0.32100057842620305,0.7467542402272679,0.811965811965812
6,0.26811950502542725,0.7754575596616269,0.8451676528599605
7,0.2262646326982291,0.7749619232068478,0.8481262327416174
8,0.17290428043445438,0.7984219732997331,0.8325115055884287
9,0.13996317050687698,0.7876161230872933,0.849112426035503
10,0.11036204831347805,0.7773364591237046,0.8334976988823143
11,0.09293516766114399,0.7903096288969524,0.846646942800789
12,0.055564953009662,0.7964669789349486,0.8331689677843525
13,0.05053545445024977,0.7862154553738371,0.8433596318211702
