epoch,train_loss,valid_macro_f1,valid_accuracy
1,0.8784515009021885,0.6735510618791206,0.7685733070348455
2,0.5455918012449273,0.6700189019451723,0.7375082182774491
3,0.4505100591817194,0.740367890107411,0.8032544378698225
4,0.36264425574260295,0.7523504507374412,0.8404010519395135
5,0.29581614830586545,0.7418260043068303,0.821663379355687
6,0.23490973819798558,0.7628185760873859,0.8371137409598948
7,0.17375748856474352,0.7658908571859505,0.8357988165680473
8,0.12480051426386272,0.7814156268483332,0.8311965811965812
9,0.09085796107653624,0.7639991553324021,0.8190335305719921
10,0.05839533866730385,0.7699170223845486,0.8290598290598291
11,0.03477441454018954,0.8000768196207068,0.8392504930966469
12,0.028088598222525914,0.7675246422489084,0.841387245233399
13,0.023279873538615572,0.7544447067711382,0.8221564760026299
14,0.03316998938303174,0.7639472576841897,0.8208415516107824
15,0.0245523223039294,0.7814270406053481,0.8377712031558185
16,0.017522940634661092,0.7824551672830092,0.8357988165680473
