epoch,train_loss,valid_macro_f1,valid_accuracy
1,0.9343716920754608,0.6445044939033355,0.7197567389875082
2,0.5828976239395706,0.6610768632520485,0.7358645627876397
3,0.4871364435877358,0.7257961649319216,0.7979947403024326
4,0.4136870168972052,0.7371244623250497,0.8108152531229454
5,0.3493976198023727,0.7313100397702957,0.8132807363576594
6,0.29411145410017275,0.7603556249621821,0.8298816568047337
7,0.25040665031064013,0.755485109248791,0.8231426692965155
8,0.1920522984073793,0.7638548039810149,0.8182117028270874
9,0.145942921792244,0.7532360533243905,0.809335963182117
10,0.10599127999459383,0.7418661959096878,0.7986522024983563
11,0.08438062686033265,0.7669797900360774,0.8170611439842209
12,0.056840980590299336,0.7703136420240758,0.8226495726495726
13,0.052324596311247244,0.7592801685812889,0.821663379355687
14,0.0371650676235608,0.7646151455539953,0.8180473372781065
15,0.03789913302132613,0.7663262189930677,0.8201840894148587
16,0.01646604800902775,0.7646773002153944,0.8182117028270874
17,0.02919363893864268,0.7507003630462368,0.8025969756738988
