,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch,none
Center,778,2,8,1,38,0,4,2,25
Donut,2,95,1,1,11,0,0,1,0
Edge-Loc,4,0,793,55,67,2,8,25,78
Edge-Ring,0,0,59,1857,6,0,0,5,7
Loc,20,20,93,1,431,0,4,72,74
Near-full,0,0,1,0,0,25,2,0,0
Random,3,6,8,2,8,2,140,1,0
Scratch,3,0,23,3,68,0,0,66,73
none,10,0,84,5,82,0,0,63,756
