model,test_accuracy,test_macro_f1,test_macro_recall,best_valid_macro_f1,best_epoch,parameters,seconds
cartesian,0.8367850098619329,0.7516025357031917,0.7679790797756322,0.7984219732997331,8,822281,52.53027701377869
polar,0.8121301775147929,0.7581019248336691,0.760673059156284,0.7703136420240758,12,822281,65.28845500946045
fusion,0.8333333333333334,0.7807499955325009,0.7939967486818981,0.8000768196207068,11,1644553,109.82805109024048
