,cartesian,polar,fusion,test_support
Center,0.9393939393939394,0.9067599067599068,0.9452214452214452,858
Donut,0.7927927927927928,0.8558558558558559,0.8918918918918919,111
Edge-Loc,0.7829457364341085,0.7684108527131783,0.7587209302325582,1032
Edge-Ring,0.9756980351602895,0.9601861427094105,0.9725956566701137,1934
Loc,0.7496503496503496,0.6027972027972028,0.6531468531468532,715
Near-full,0.8214285714285714,0.8928571428571429,0.9285714285714286,28
Random,0.8235294117647058,0.8235294117647058,0.8529411764705882,170
Scratch,0.2923728813559322,0.2796610169491525,0.3728813559322034,236
none,0.734,0.756,0.77,1000
