,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch,none
Center,811,4,4,0,16,0,4,4,15
Donut,2,99,0,0,10,0,0,0,0
Edge-Loc,1,2,783,70,65,2,14,31,64
Edge-Ring,0,0,39,1881,2,0,0,8,4
Loc,37,22,55,2,467,0,3,86,43
Near-full,0,0,0,0,0,26,2,0,0
Random,6,6,2,1,7,2,145,1,0
Scratch,5,0,14,1,71,0,0,88,57
none,13,0,45,3,83,0,0,86,770
