,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch,none
Center,806,4,3,0,28,0,3,5,9
Donut,2,88,0,1,7,12,1,0,0
Edge-Loc,4,1,808,51,84,1,9,33,41
Edge-Ring,0,0,38,1887,2,0,0,3,4
Loc,22,22,44,1,536,1,4,69,16
Near-full,0,0,0,0,0,23,5,0,0
Random,5,4,5,2,9,1,140,4,0
Scratch,3,0,9,1,107,0,0,69,47
none,12,0,42,3,88,0,0,121,734
