model,test_accuracy,test_macro_f1,test_macro_recall,best_valid_macro_f1,best_epoch,parameters,seconds
cartesian,0.8367850098619329,0.7516025357031917,0.7679790797756322,0.7984219732997331,8,822281,52.53027701377869
density_max,0.8768902038132808,0.8152510389175289,0.8084072437078036,0.8234696191543462,12,822857,63.8890278339386
density_avg,0.8768902038132808,0.8226108883959742,0.8332759625607109,0.8124973730491054,8,822857,49.75926399230957
