,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch,none
Center,805,1,4,1,26,0,8,2,11
Donut,3,88,0,0,19,0,1,0,0
Edge-Loc,2,2,871,58,41,1,5,13,39
Edge-Ring,0,0,20,1907,1,0,0,1,5
Loc,20,13,72,2,532,0,3,40,33
Near-full,0,0,0,0,0,26,2,0,0
Random,3,6,12,0,9,1,138,1,0
Scratch,3,0,11,2,87,0,0,81,52
none,12,0,32,2,34,0,0,33,887
