epoch,train_loss,valid_macro_f1,valid_accuracy
1,0.7599545780498488,0.6941219178591498,0.7764628533859304
2,0.4437959364594306,0.7539393199183889,0.8431952662721893
3,0.35149914409178823,0.7913597242467955,0.8474687705456936
4,0.29970952736358825,0.7974273252681283,0.8599605522682445
5,0.23723106419776904,0.7972634645886825,0.8755752794214333
6,0.192841973762977,0.7960291450363115,0.8584812623274162
7,0.15789109795206271,0.820566574162392,0.8709730440499671
8,0.11753808010519971,0.8143321760750903,0.8726166995397765
9,0.10437280199121601,0.8078843003462985,0.8683431952662722
10,0.057243792386187195,0.8145773993315805,0.8694937541091388
11,0.043397999759027646,0.789833386292239,0.8445101906640368
12,0.04237238861304866,0.8234696191543462,0.8722879684418146
13,0.017972586595087804,0.8130128818845046,0.87146614069691
14,0.016649707149411937,0.8206793981831092,0.8660420775805391
15,0.030349064618119447,0.77310521160911,0.8356344510190664
16,0.02166267192471593,0.8142801239728645,0.8640696909927679
17,0.015178973942807898,0.8222736242600885,0.8599605522682445
