,cartesian,density_max,density_avg,test_support
Center,0.9393939393939394,0.9382284382284383,0.9673659673659674,858.0
Donut,0.7927927927927928,0.7927927927927928,0.9099099099099099,111.0
Edge-Loc,0.7829457364341085,0.8439922480620154,0.8556201550387597,1032.0
Edge-Ring,0.9756980351602895,0.9860392967942089,0.9819027921406411,1934.0
Loc,0.7496503496503496,0.7440559440559441,0.6391608391608392,715.0
Near-full,0.8214285714285714,0.9285714285714286,0.9642857142857143,28.0
Random,0.8235294117647058,0.8117647058823529,0.9058823529411765,170.0
Scratch,0.2923728813559322,0.3432203389830508,0.3813559322033898,236.0
none,0.734,0.887,0.894,1000.0
