epoch,train_loss,valid_macro_f1,valid_accuracy
1,0.8149239803841914,0.7023356996067127,0.7851742274819198
2,0.48059129615194746,0.7132670717707942,0.8239644970414202
3,0.39670558228805475,0.7918357650884329,0.8522353714661407
4,0.3318603066351438,0.7701517764664315,0.8509204470742933
5,0.2846462638399306,0.7699523953904877,0.8619329388560157
6,0.25454942833318506,0.7754535605191125,0.8578238001314924
7,0.2446404828462762,0.786861302811316,0.8719592373438527
8,0.1963316856113292,0.8124973730491054,0.8731097961867192
9,0.17348652360250014,0.7980142354940479,0.8620973044049968
10,0.13857094996511482,0.8047203560005051,0.871137409598948
11,0.11451355711525385,0.8092909898407752,0.8706443129520053
12,0.09028819555800541,0.8108001267559117,0.8717948717948718
13,0.0739844960229595,0.7880434490799106,0.871137409598948
